"MSSubClass","MSZoning","LotArea","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","Fence","SalePrice"
60,"RL",7795,"IR1","Lvl","Gilbert","1Fam","2Story",7,5,2004,2005,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","GLQ",425,"Unf",291,716,"Ex","Y",716,716,1432,1,2,1,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"Fin",2,432,"TA","TA","Y",100,51,"GdPrv",188500
60,"RL",13005,"IR1","Lvl","NWAmes","1Fam","2Story",7,7,1980,1980,"CemntBd","CmentBd",278,"Gd","CBlock","Gd","TA","GLQ",692,"Unf",153,845,"TA","Y",1153,1200,2353,1,2,1,4,1,"Ex",10,"Typ",1,"TA","Attchd",1983,"RFn",2,484,"TA","TA","Y",288,195,"GdPrv",260000
60,"FV",9000,"Reg","Lvl","Somerst","1Fam","2Story",8,5,2006,2006,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","Unf",0,"Unf",1088,1088,"Ex","Y",1088,871,1959,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2006,"RFn",3,1025,"TA","TA","Y",208,46,"MnPrv",270000
60,"RL",9900,"Reg","Low","NoRidge","1Fam","2Story",7,5,1993,1993,"HdBoard","HdBoard",256,"Gd","PConc","Gd","TA","GLQ",987,"Unf",360,1347,"Ex","Y",1372,1274,2646,1,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"RFn",3,656,"TA","TA","Y",340,60,"GdPrv",260000
80,"RL",14115,"Reg","Lvl","NWAmes","1Fam","SLvl",7,5,1980,1980,"Plywood","Plywood",225,"TA","CBlock","Gd","TA","GLQ",1036,"Unf",336,1372,"TA","Y",1472,0,1472,1,2,0,3,1,"TA",6,"Typ",2,"TA","Attchd",1980,"Unf",2,588,"TA","TA","Y",233,48,"MnPrv",187500
60,"RL",16259,"Reg","Lvl","NridgHt","1Fam","2Story",9,5,2006,2006,"VinylSd","VinylSd",370,"TA","PConc","Ex","Gd","Unf",0,"Unf",1249,1249,"Ex","Y",1249,1347,2596,0,3,1,4,1,"Gd",9,"Typ",0,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",240,154,"MnPrv",342643
60,"RL",12099,"IR1","Lvl","NridgHt","1Fam","2Story",8,5,2004,2004,"VinylSd","VinylSd",388,"Gd","PConc","Ex","TA","GLQ",970,"Unf",166,1136,"Ex","Y",1136,1332,2468,1,2,1,4,1,"Gd",10,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,872,"TA","TA","Y",184,154,"GdPrv",354000
60,"RL",10380,"IR1","Lvl","SawyerW","1Fam","2Story",7,5,1986,1987,"Plywood","Plywood",172,"Gd","CBlock","TA","TA","LwQ",28,"ALQ",0,1502,"Ex","Y",1553,1177,2730,1,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1987,"Fin",2,576,"TA","TA","Y",201,96,"MnPrv",301000
20,"RM",5820,"Reg","Lvl","OldTown","1Fam","1Story",3,8,1955,2005,"VinylSd","VinylSd",0,"TA","CBlock","TA","TA","ALQ",256,"Unf",906,1162,"Ex","Y",1163,0,1163,1,1,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1955,"Unf",1,220,"Fa","TA","Y",142,98,"MnPrv",126175
80,"RL",11275,"Reg","Lvl","NAmes","1Fam","SLvl",7,7,1967,2007,"Wd Sdng","Wd Sdng",300,"Gd","CBlock","Gd","TA","Unf",0,"Unf",710,710,"Ex","Y",1898,1080,2978,0,2,1,5,1,"Gd",11,"Typ",1,"Gd","BuiltIn",1961,"Fin",2,564,"TA","TA","Y",240,0,"MnPrv",242000
45,"RM",5000,"Reg","Lvl","IDOTRR","1Fam","1.5Unf",5,6,1941,1950,"MetalSd","MetalSd",0,"TA","CBlock","TA","TA","BLQ",116,"Unf",604,720,"Po","N",803,0,803,0,1,0,2,1,"TA",5,"Typ",0,"Fa","Detchd",1941,"Unf",2,360,"TA","TA","Y",0,0,"MnPrv",87000
120,"RL",10846,"IR1","Lvl","Veenker","TwnhsE","1Story",8,5,1993,1993,"BrkFace","BrkFace",0,"Gd","PConc","Gd","TA","GLQ",1619,"Unf",100,1719,"Ex","Y",1719,0,1719,2,1,1,1,1,"Gd",6,"Typ",2,"Gd","Attchd",1993,"Fin",2,473,"TA","TA","Y",122,30,"GdPrv",324000
20,"RL",11600,"Reg","Lvl","NAmes","1Fam","1Story",6,5,1960,1960,"Wd Sdng","Wd Sdng",175,"TA","CBlock","TA","TA","Rec",565,"Unf",818,1383,"TA","Y",1383,0,1383,0,1,1,3,1,"TA",7,"Typ",0,"TA","Attchd",1960,"RFn",1,292,"TA","TA","Y",0,45,"MnPrv",145250
75,"RL",11888,"IR1","Bnk","BrkSide","1Fam","2.5Unf",6,6,1916,1994,"Wd Sdng","Wd Shng",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",844,844,"Gd","N",1445,689,2134,0,2,0,5,1,"Gd",10,"Typ",0,"Gd","Detchd",1930,"Unf",2,441,"TA","TA","Y",0,60,"GdPrv",214500
70,"RM",6402,"Reg","Lvl","IDOTRR","1Fam","2Story",5,5,1920,1950,"Wd Sdng","Wd Shng",0,"TA","PConc","TA","TA","Unf",0,"Unf",596,596,"TA","N",596,596,1192,0,1,0,3,1,"TA",6,"Typ",0,"Gd","Detchd",1920,"Unf",1,189,"Fa","Fa","N",0,0,"GdWo",78000
90,"RL",10624,"IR1","Lvl","NAmes","Duplex","1Story",5,4,1964,1964,"HdBoard","HdBoard",84,"TA","CBlock","TA","TA","GLQ",40,"Rec",1424,1728,"TA","Y",1728,0,1728,0,2,0,6,2,"TA",10,"Typ",0,"TA","Detchd",2002,"Unf",1,352,"TA","TA","Y",155,0,"GdWo",119000
20,"RL",8176,"Reg","Lvl","NAmes","1Fam","1Story",5,6,1958,1992,"Wd Sdng","Wd Sdng",0,"TA","CBlock","TA","TA","Rec",846,"Unf",210,1056,"Fa","Y",1056,0,1056,1,1,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1958,"RFn",1,308,"TA","TA","Y",0,0,"MnPrv",139000
20,"RL",10655,"IR1","Lvl","NridgHt","1Fam","1Story",8,5,2003,2004,"VinylSd","VinylSd",296,"Gd","PConc","Gd","TA","GLQ",1124,"Unf",1603,3206,"Ex","Y",1629,0,1629,1,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2003,"RFn",3,880,"TA","TA","Y",0,0,"MnWw",284000
120,"RM",8198,"Reg","Lvl","NridgHt","TwnhsE","1Story",7,5,2004,2004,"VinylSd","VinylSd",146,"Gd","PConc","Gd","TA","GLQ",720,"Unf",638,1358,"Ex","Y",1358,0,1358,1,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2004,"RFn",2,484,"TA","TA","Y",192,30,"MnPrv",207000
60,"RL",9042,"IR1","Lvl","Gilbert","1Fam","2Story",6,5,1998,1998,"VinylSd","VinylSd",0,"TA","PConc","Gd","TA","GLQ",828,"Unf",115,943,"Gd","Y",943,695,1638,1,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1998,"Fin",2,472,"TA","TA","Y",100,38,"GdPrv",192000
190,"RL",164660,"IR1","HLS","Timber","2fmCon","1.5Fin",5,6,1965,1965,"Plywood","Plywood",0,"TA","CBlock","TA","TA","ALQ",1249,"BLQ",103,1499,"Ex","Y",1619,167,1786,2,2,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",1965,"Fin",2,529,"TA","TA","Y",670,0,"MnPrv",228950
20,"RL",14157,"IR1","HLS","StoneBr","1Fam","1Story",9,5,2005,2006,"VinylSd","VinylSd",200,"Gd","PConc","Ex","TA","GLQ",1249,"Unf",673,1922,"Ex","Y",1922,0,1922,1,2,0,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,676,"TA","TA","Y",178,51,"MnPrv",377426
20,"RL",9135,"Reg","Lvl","CollgCr","1Fam","1Story",7,5,2002,2003,"VinylSd","VinylSd",113,"Gd","PConc","Gd","TA","GLQ",810,"Unf",726,1536,"Ex","Y",1536,0,1536,1,2,0,3,1,"Gd",7,"Typ",0,"Gd","Attchd",2002,"RFn",2,532,"TA","TA","Y",192,74,"MnPrv",214000
20,"RL",14145,"Reg","Lvl","NWAmes","1Fam","1Story",7,7,1984,1998,"Wd Sdng","Wd Sdng",0,"Gd","CBlock","Gd","TA","ALQ",213,"Unf",995,1208,"Ex","Y",1621,0,1621,1,2,0,3,1,"Gd",8,"Typ",0,"Gd","Attchd",1984,"RFn",2,440,"TA","TA","Y",108,45,"MnPrv",202500
20,"RL",12400,"IR1","Lvl","NAmes","1Fam","1Story",6,7,1958,1998,"Wd Sdng","Wd Sdng",176,"TA","CBlock","TA","Fa","Rec",585,"Unf",630,1215,"TA","Y",1215,0,1215,0,1,0,3,1,"TA",6,"Typ",0,"TA","Attchd",1958,"Unf",1,297,"TA","TA","Y",0,0,"MnPrv",155000
60,"RL",14191,"Reg","Lvl","Timber","1Fam","2Story",8,5,2002,2002,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","Unf",0,"Unf",967,967,"Ex","Y",993,915,1908,0,2,1,4,1,"Gd",9,"Typ",0,"Gd","Attchd",2002,"Fin",2,431,"TA","TA","Y",135,0,"GdWo",202900
20,"RH",8400,"Reg","Lvl","SawyerW","1Fam","1Story",4,4,1950,1950,"Wd Sdng","AsbShng",0,"Fa","CBlock","TA","Fa","Unf",0,"Unf",721,721,"Gd","Y",841,0,841,0,1,0,2,1,"TA",4,"Typ",0,"TA","CarPort",1950,"Unf",1,294,"TA","TA","N",250,0,"MnPrv",82000
90,"RL",8544,"Reg","Lvl","NAmes","Duplex","1Story",3,4,1949,1950,"Stucco","Stucco",340,"TA","Slab","TA","TA","Unf",0,"Unf",0,0,"Fa","N",1040,0,1040,0,2,0,2,2,"TA",6,"Typ",0,"TA","Detchd",1949,"Unf",2,400,"TA","TA","Y",0,0,"MnPrv",87500
120,"RL",8849,"IR1","Lvl","NridgHt","TwnhsE","1Story",9,5,2005,2005,"MetalSd","MetalSd",616,"Ex","PConc","Ex","TA","GLQ",28,"Unf",1656,1684,"Ex","Y",1684,0,1684,0,2,0,2,1,"Ex",6,"Typ",1,"Ex","Attchd",2005,"RFn",2,564,"TA","TA","Y",495,72,"MnPrv",266000
160,"RM",2592,"Reg","Lvl","MeadowV","TwnhsE","2Story",5,3,1976,1976,"CemntBd","CmentBd",0,"TA","CBlock","Gd","TA","Rec",129,"BLQ",175,536,"TA","Y",536,576,1112,0,1,1,3,1,"TA",4,"Typ",0,"TA","Attchd",1976,"Unf",1,336,"TA","TA","Y",182,0,"MnPrv",85000
50,"RL",6435,"Reg","Lvl","BrkSide","1Fam","1.5Fin",6,5,1939,1950,"MetalSd","MetalSd",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",972,972,"Gd","Y",972,605,1577,0,1,0,3,1,"Fa",6,"Typ",1,"Gd","Detchd",1939,"Unf",1,312,"TA","TA","Y",0,0,"GdWo",140200
20,"RL",12772,"IR1","Lvl","NAmes","1Fam","1Story",6,8,1960,1998,"MetalSd","MetalSd",0,"TA","CBlock","TA","TA","BLQ",498,"Unf",460,958,"TA","Y",958,0,958,0,1,0,2,1,"TA",5,"Typ",0,"TA","Attchd",1960,"RFn",1,301,"TA","TA","Y",0,0,"MnPrv",151500
20,"RL",17600,"IR1","Lvl","NAmes","1Fam","1Story",6,5,1960,1960,"Wd Sdng","Wd Sdng",30,"TA","CBlock","TA","TA","BLQ",1270,"Unf",208,1478,"Ex","Y",1478,0,1478,1,2,0,3,1,"TA",6,"Typ",2,"Gd","Attchd",1960,"Unf",2,498,"TA","TA","Y",0,40,"MnPrv",157500
160,"RL",2448,"Reg","Lvl","NridgHt","Twnhs","2Story",7,5,2003,2004,"VinylSd","Wd Shng",106,"Gd","PConc","Gd","TA","GLQ",573,"Unf",191,764,"Ex","Y",764,862,1626,1,2,1,2,1,"Gd",6,"Typ",0,"Gd","BuiltIn",2003,"RFn",2,474,"TA","TA","Y",0,27,"MnPrv",154000
60,"RL",20431,"IR2","Lvl","NridgHt","1Fam","2Story",9,5,2005,2006,"CemntBd","CmentBd",870,"Ex","PConc","Ex","TA","GLQ",1410,"Unf",438,1848,"Ex","Y",1848,880,2728,1,2,1,4,1,"Ex",10,"Typ",2,"Ex","Attchd",2006,"Fin",3,706,"TA","TA","Y",0,0,"MnPrv",437154
120,"RL",7820,"IR1","Lvl","NridgHt","TwnhsE","1Story",9,5,2007,2007,"MetalSd","MetalSd",362,"Ex","PConc","Ex","TA","Unf",0,"Unf",1869,1869,"Ex","Y",1869,0,1869,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2007,"RFn",2,617,"TA","TA","Y",210,54,"GdPrv",318061
120,"RL",5271,"IR1","Low","ClearCr","1Fam","1Story",7,5,1986,1986,"Wd Sdng","Wd Sdng",0,"TA","PConc","Gd","TA","GLQ",1082,"Unf",371,1453,"Gd","Y",1453,0,1453,1,1,1,2,1,"Gd",6,"Typ",1,"TA","Attchd",1986,"RFn",2,445,"TA","TA","Y",0,80,"GdWo",190000
50,"RL",9084,"Reg","Lvl","Edwards","1Fam","1.5Fin",5,6,1941,1950,"VinylSd","VinylSd",0,"TA","CBlock","TA","Fa","LwQ",236,"Rec",0,616,"TA","N",616,495,1111,0,1,0,3,1,"TA",5,"Typ",0,"TA","Detchd",1941,"Unf",1,200,"TA","Fa","Y",48,0,"MnPrv",95000
30,"RM",8520,"Reg","Lvl","OldTown","1Fam","1Story",6,8,1928,2003,"VinylSd","VinylSd",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",624,624,"Gd","Y",720,0,720,0,1,0,2,1,"TA",5,"Typ",0,"Gd","Detchd",2005,"Unf",2,484,"TA","TA","Y",106,0,"MnPrv",105900
50,"RL",8400,"Reg","Bnk","SWISU","1Fam","1.5Fin",6,5,1940,2000,"Wd Sdng","MetalSd",0,"TA","CBlock","TA","TA","LwQ",388,"Unf",552,940,"Ex","Y",1192,403,1595,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1940,"Unf",1,240,"TA","TA","Y",0,0,"MnPrv",140000
20,"RL",11249,"IR2","Lvl","CollgCr","1Fam","1Story",6,5,1995,1995,"VinylSd","VinylSd",0,"Gd","PConc","Gd","Gd","ALQ",334,"BLQ",322,1200,"Ex","Y",1200,0,1200,1,2,0,3,1,"Gd",6,"Typ",0,"TA","Attchd",1995,"RFn",2,521,"TA","TA","Y",0,26,"MnPrv",177500
20,"RL",9248,"IR1","Lvl","Gilbert","1Fam","1Story",6,6,1992,1992,"HdBoard","HdBoard",106,"TA","PConc","Gd","TA","GLQ",560,"Unf",598,1158,"Gd","Y",1167,0,1167,1,2,0,3,1,"Gd",6,"Typ",0,"Ex","Attchd",1992,"RFn",2,400,"TA","TA","Y",120,26,"GdPrv",173000
120,"RM",4224,"Reg","Lvl","MeadowV","TwnhsE","1Story",5,5,1976,1976,"CemntBd","CmentBd",0,"TA","PConc","Gd","TA","ALQ",874,"Unf",268,1142,"TA","Y",1142,0,1142,1,1,1,3,1,"TA",6,"Typ",1,"Po","Attchd",1976,"Fin",2,528,"TA","TA","Y",536,90,"MnPrv",134000
80,"RL",6930,"IR1","Lvl","ClearCr","1Fam","SLvl",5,4,1958,1958,"Wd Sdng","ImStucc",120,"TA","CBlock","TA","TA","BLQ",300,"Rec",468,1062,"Ex","Y",1352,0,1352,0,1,0,3,1,"Gd",6,"Min2",0,"Gd","BuiltIn",1958,"Unf",1,288,"TA","TA","Y",168,0,"MnPrv",130000
60,"RL",12011,"IR1","Lvl","NoRidge","1Fam","2Story",8,5,1998,1998,"VinylSd","VinylSd",530,"Gd","PConc","Gd","TA","GLQ",956,"Unf",130,1086,"Ex","Y",1086,838,1924,1,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1998,"RFn",2,592,"TA","TA","Y",208,75,"GdPrv",280000
85,"RL",7540,"IR1","Lvl","Mitchel","1Fam","SFoyer",6,6,1978,1978,"VinylSd","VinylSd",0,"TA","CBlock","Gd","TA","GLQ",773,"Unf",115,888,"Ex","Y",912,0,912,1,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1978,"RFn",2,470,"TA","TA","Y",0,0,"MnPrv",156000
50,"RL",9144,"Reg","Lvl","BrkSide","1Fam","1.5Fin",5,5,1940,1982,"MetalSd","MetalSd",0,"TA","CBlock","TA","TA","Rec",399,"Unf",484,883,"Gd","Y",988,517,1505,1,1,0,3,1,"TA",8,"Typ",0,"TA","Detchd",1940,"Unf",1,240,"TA","TA","N",0,0,"MnPrv",145000
85,"RL",7301,"Reg","Lvl","Edwards","1Fam","SFoyer",7,5,2003,2003,"HdBoard","HdBoard",500,"Gd","Slab","Gd","TA","ALQ",0,"Unf",0,0,"Ex","Y",495,1427,1922,0,3,0,4,1,"Gd",7,"Typ",1,"Ex","BuiltIn",2003,"RFn",2,672,"TA","TA","Y",0,0,"GdWo",198500
160,"RM",1680,"Reg","Lvl","BrDale","Twnhs","2Story",6,8,1972,2007,"HdBoard","HdBoard",510,"TA","CBlock","TA","TA","ALQ",162,"Unf",321,483,"Gd","Y",483,504,987,0,1,1,2,1,"Gd",5,"Typ",0,"Gd","Detchd",1972,"Unf",1,264,"TA","TA","Y",250,0,"MnPrv",118000
60,"RL",18800,"IR1","Lvl","NWAmes","1Fam","2Story",6,5,1976,1976,"HdBoard","HdBoard",120,"TA","PConc","Gd","TA","GLQ",712,"Unf",84,796,"TA","Y",790,784,1574,1,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Fin",2,566,"TA","TA","Y",306,111,"GdPrv",190000
70,"RM",10690,"Reg","Lvl","IDOTRR","1Fam","2Story",5,7,1920,1997,"VinylSd","VinylSd",0,"TA","CBlock","TA","Fa","Rec",456,"Unf",216,672,"Gd","Y",672,672,1344,0,1,0,3,1,"TA",6,"Typ",0,"TA","Detchd",1964,"Unf",1,468,"TA","Fa","Y",0,128,"MnPrv",147000
20,"RL",9500,"IR1","Lvl","NAmes","1Fam","1Story",6,5,1963,1963,"Plywood","Plywood",247,"TA","CBlock","Gd","TA","BLQ",609,"Unf",785,1394,"Gd","Y",1394,0,1394,1,1,1,3,1,"TA",6,"Typ",2,"Gd","Attchd",1963,"RFn",2,514,"TA","TA","Y",0,76,"GdPrv",159000
80,"RL",9150,"IR1","Lvl","NAmes","1Fam","SLvl",6,5,1962,1962,"Plywood","Plywood",305,"TA","CBlock","Gd","TA","GLQ",371,"Unf",728,1099,"Gd","Y",1431,0,1431,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Basment",1962,"RFn",1,296,"TA","TA","Y",64,110,"MnPrv",165000
20,"RL",7800,"Reg","Lvl","NAmes","1Fam","1Story",5,6,1954,1954,"HdBoard","HdBoard",200,"TA","PConc","TA","TA","LwQ",540,"Unf",728,1268,"Gd","Y",1268,0,1268,0,1,0,2,1,"TA",7,"Typ",1,"Gd","Attchd",1954,"Fin",1,244,"TA","TA","Y",0,98,"MnPrv",132000
20,"RL",9830,"IR1","Lvl","NAmes","1Fam","1Story",5,7,1959,2006,"Wd Sdng","Wd Sdng",0,"TA","CBlock","TA","TA","ALQ",72,"Rec",733,1063,"Ex","Y",1287,0,1287,1,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1997,"Fin",2,576,"TA","TA","Y",364,17,"MnPrv",162000
60,"RL",8121,"IR1","Lvl","Gilbert","1Fam","2Story",6,5,2000,2000,"VinylSd","VinylSd",0,"TA","PConc","Gd","TA","Unf",0,"Unf",953,953,"Ex","Y",953,711,1664,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"RFn",2,460,"TA","TA","Y",100,40,"MnPrv",172400
50,"RL",17120,"Reg","Lvl","ClearCr","1Fam","1.5Fin",4,4,1959,1959,"WdShing","Plywood",0,"TA","CBlock","TA","TA","Unf",0,"Unf",0,0,"TA","Y",1120,468,1588,0,2,0,4,1,"TA",7,"Min2",1,"Gd","Detchd",1991,"Fin",2,680,"TA","TA","N",0,59,"GdWo",134432
120,"RL",7175,"Reg","Lvl","SawyerW","TwnhsE","1Story",6,5,1984,1984,"Plywood","Plywood",0,"TA","CBlock","Gd","TA","ALQ",623,"LwQ",0,744,"TA","Y",752,0,752,1,1,0,2,1,"TA",4,"Typ",0,"TA","Attchd",1984,"Unf",1,264,"TA","TA","Y",353,0,"MnPrv",125000
20,"RL",10634,"Reg","Lvl","NAmes","1Fam","1Story",5,6,1953,1953,"MetalSd","MetalSd",0,"TA","PConc","TA","TA","BLQ",428,"LwQ",0,608,"TA","Y",1319,0,1319,1,1,0,3,1,"TA",5,"Min2",0,"Gd","Attchd",1953,"Unf",1,270,"TA","TA","Y",66,0,"GdWo",123000
60,"RL",8200,"Reg","Lvl","CollgCr","1Fam","2Story",7,5,2003,2004,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","Unf",0,"Unf",847,847,"Ex","Y",847,1081,1928,0,2,1,4,1,"Gd",8,"Typ",1,"Gd","BuiltIn",2003,"Fin",2,434,"TA","TA","Y",100,48,"MnPrv",219500
30,"RL",10020,"IR1","Low","Edwards","1Fam","1Story",1,1,1922,1950,"Wd Sdng","Wd Sdng",0,"Fa","BrkTil","Fa","Po","BLQ",350,"Unf",333,683,"Gd","N",904,0,904,1,0,1,1,1,"Fa",4,"Maj1",0,"Gd","Detchd",1930,"Unf",0,0,"TA","TA","Y",0,0,"MnPrv",61000
85,"RL",8846,"IR1","Lvl","CollgCr","1Fam","SFoyer",5,5,1996,1996,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","GLQ",298,"Unf",572,870,"Ex","Y",914,0,914,0,1,0,2,1,"TA",5,"Typ",0,"Gd","Detchd",1998,"Unf",2,576,"TA","TA","Y",0,0,"MnPrv",148000
60,"FV",11143,"IR1","Lvl","Somerst","1Fam","2Story",8,5,2004,2005,"CemntBd","CmentBd",0,"Gd","PConc","Gd","TA","Unf",0,"Unf",1580,1580,"Ex","Y",1580,886,2466,0,3,0,4,1,"Gd",8,"Typ",1,"Gd","Attchd",2004,"RFn",2,610,"TA","TA","Y",159,214,"MnPrv",340000
20,"RL",11394,"Reg","Lvl","StoneBr","1Fam","1Story",9,2,2010,2010,"VinylSd","VinylSd",350,"Gd","PConc","Ex","TA","GLQ",1445,"Unf",411,1856,"Ex","Y",1856,0,1856,1,1,1,1,1,"Ex",8,"Typ",1,"Ex","Attchd",2010,"Fin",3,834,"TA","TA","Y",113,0,"MnPrv",394432
60,"RL",8123,"IR1","Lvl","Gilbert","1Fam","2Story",6,5,2000,2000,"VinylSd","VinylSd",16,"TA","PConc","Gd","TA","Unf",0,"Unf",982,982,"Ex","Y",1007,793,1800,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"Fin",2,463,"TA","TA","Y",100,63,"MnPrv",179000
50,"RL",5000,"Reg","Lvl","SWISU","1Fam","1.5Fin",5,6,1924,1950,"BrkFace","Wd Sdng",0,"TA","BrkTil","TA","TA","LwQ",218,"Unf",808,1026,"TA","Y",1026,665,1691,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Detchd",1924,"Unf",1,308,"TA","TA","Y",0,0,"GdPrv",127000
20,"FV",7200,"Reg","Lvl","Somerst","1Fam","1Story",7,5,2006,2006,"VinylSd","VinylSd",0,"Gd","PConc","Gd","Gd","Unf",0,"Unf",1293,1293,"Ex","Y",1301,0,1301,1,2,0,2,1,"Gd",5,"Typ",1,"Gd","Attchd",2006,"RFn",2,572,"TA","TA","Y",216,121,"GdWo",187750
60,"RL",9245,"IR1","Lvl","CollgCr","1Fam","2Story",7,5,2006,2006,"VinylSd","VinylSd",0,"Gd","PConc","Gd","TA","Unf",0,"Unf",939,939,"Ex","Y",939,858,1797,0,2,1,3,1,"Gd",8,"Typ",0,"Gd","Attchd",2006,"RFn",2,639,"TA","TA","Y",144,53,"GdPrv",213500
45,"RH",9000,"Reg","Lvl","SawyerW","1Fam","1.5Unf",6,3,1928,1950,"Wd Sdng","Wd Sdng",0,"TA","BrkTil","Fa","Fa","Unf",0,"Unf",784,784,"TA","N",784,0,784,0,1,0,2,1,"TA",5,"Typ",0,"Gd","Detchd",1950,"Unf",2,360,"Fa","Fa","N",0,0,"GdPrv",76000
60,"RL",53107,"IR2","Low","ClearCr","1Fam","2Story",6,5,1992,1992,"HdBoard","HdBoard",0,"Gd","PConc","Gd","TA","GLQ",985,"Unf",595,1580,"Ex","Y",1079,874,1953,1,2,1,3,1,"Gd",9,"Typ",2,"Fa","Attchd",1992,"Fin",2,501,"TA","TA","Y",216,231,"MnPrv",240000
120,"RL",3182,"Reg","Lvl","Blmngtn","TwnhsE","1Story",8,5,2004,2005,"VinylSd","VinylSd",16,"Gd","PConc","Gd","TA","GLQ",24,"Unf",1232,1256,"Ex","Y",1269,0,1269,0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2004,"Fin",2,430,"TA","TA","Y",146,20,"MnPrv",192000
50,"RL",8410,"Reg","Lvl","Edwards","1Fam","1.5Fin",5,3,1910,1996,"Wd Sdng","VinylSd",0,"TA","PConc","TA","TA","Unf",0,"Unf",658,658,"TA","Y",658,526,1184,0,1,0,5,1,"TA",8,"Typ",0,"TA","Detchd",1930,"Unf",0,0,"TA","TA","N",0,151,"GdPrv",81000
80,"RL",7200,"Reg","Lvl","Edwards","1Fam","SLvl",6,6,1976,1976,"MetalSd","MetalSd",255,"TA","CBlock","TA","TA","ALQ",631,"Unf",410,1041,"Ex","Y",1125,0,1125,1,1,0,3,1,"TA",6,"Typ",1,"Fa","Detchd",1977,"Unf",1,352,"TA","TA","Y",296,0,"GdWo",125000
20,"RL",9382,"IR1","Lvl","CollgCr","1Fam","1Story",7,5,1999,2000,"VinylSd","VinylSd",125,"Gd","PConc","Gd","TA","Unf",0,"Unf",1468,1468,"Ex","Y",1479,0,1479,0,2,0,3,1,"Gd",6,"Typ",0,"TA","Attchd",1999,"RFn",2,577,"TA","TA","Y",120,25,"MnPrv",191000
60,"RL",12474,"Reg","Lvl","NridgHt","1Fam","2Story",10,5,2007,2008,"VinylSd","VinylSd",272,"Ex","PConc","Ex","TA","GLQ",1280,"Unf",402,1682,"Ex","Y",1742,590,2332,1,2,1,3,1,"Ex",9,"Typ",1,"Ex","BuiltIn",2008,"Fin",3,846,"TA","TA","Y",196,134,"GdPrv",426000
50,"RL",8405,"Reg","Lvl","Edwards","1Fam","1.5Fin",5,8,1900,1950,"MetalSd","MetalSd",0,"TA","BrkTil","TA","Gd","Rec",241,"BLQ",229,861,"Ex","Y",961,406,1367,1,1,0,4,1,"TA",7,"Typ",0,"Gd","Detchd",1978,"Unf",1,384,"TA","TA","Y",0,130,"MnPrv",119000
60,"RL",12209,"IR1","Lvl","Mitchel","1Fam","2Story",6,5,2001,2002,"VinylSd","VinylSd",0,"TA","PConc","Ex","TA","ALQ",690,"Unf",114,804,"Ex","Y",804,1157,1961,1,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2001,"Fin",2,560,"TA","TA","Y",125,192,"MnPrv",215000
